"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
2858	-121.865323	13.476824	-23.871948	-0.892515	-0.399943	-0.208478	-0.081818	-0.310995	0.946883	-0.443535	0.862165	0.244845
2859	-121.954654	13.436971	-23.892725	-0.894086	-0.397147	-0.207087	-0.082935	-0.307564	0.947906	-0.440150	0.864684	0.242052
2860	-122.044142	13.397397	-23.913363	-0.895638	-0.394355	-0.205708	-0.084032	-0.304135	0.948915	-0.436773	0.867171	0.239257
2861	-122.133783	13.358101	-23.933864	-0.897172	-0.391569	-0.204342	-0.085110	-0.300708	0.949911	-0.433403	0.869625	0.236460
2862	-122.223577	13.319085	-23.954228	-0.898687	-0.388789	-0.202987	-0.086169	-0.297283	0.950893	-0.430042	0.872047	0.233663
2863	-122.313521	13.280346	-23.974459	-0.900184	-0.386015	-0.201645	-0.087208	-0.293860	0.951862	-0.426688	0.874436	0.230865
2864	-122.403615	13.241884	-23.994555	-0.901664	-0.383246	-0.200314	-0.088229	-0.290440	0.952817	-0.423342	0.876794	0.228066
2865	-122.493856	13.203699	-24.014518	-0.903124	-0.380483	-0.198995	-0.089229	-0.287024	0.953759	-0.420005	0.879119	0.225268
2866	-122.584241	13.165790	-24.034351	-0.904568	-0.377725	-0.197687	-0.090211	-0.283611	0.954687	-0.416675	0.881413	0.222470
2867	-122.674770	13.128156	-24.054053	-0.905994	-0.374974	-0.196390	-0.091173	-0.280202	0.955602	-0.413354	0.883675	0.219674
2868	-122.765441	13.090797	-24.073627	-0.907402	-0.372229	-0.195105	-0.092116	-0.276798	0.956503	-0.410043	0.885905	0.216878
2869	-122.856252	13.053712	-24.093072	-0.908793	-0.369493	-0.193832	-0.093040	-0.273398	0.957391	-0.406742	0.888104	0.214084
2870	-122.947201	13.016901	-24.112390	-0.910166	-0.366763	-0.192570	-0.093946	-0.270003	0.958265	-0.403451	0.890271	0.211292
2871	-123.038285	12.980361	-24.131584	-0.911521	-0.364041	-0.191320	-0.094832	-0.266614	0.959127	-0.400170	0.892407	0.208502
2872	-123.129506	12.944095	-24.150652	-0.912860	-0.361326	-0.190080	-0.095699	-0.263231	0.959975	-0.396899	0.894513	0.205714
2873	-123.220858	12.908098	-24.169598	-0.914181	-0.358619	-0.188852	-0.096548	-0.259854	0.960809	-0.393638	0.896587	0.202930
2874	-123.312343	12.872373	-24.188420	-0.915486	-0.355920	-0.187635	-0.097377	-0.256484	0.961631	-0.390388	0.898631	0.200149
2875	-123.403957	12.836917	-24.207122	-0.916774	-0.353228	-0.186428	-0.098189	-0.253120	0.962439	-0.387149	0.900644	0.197371
2876	-123.495698	12.801729	-24.225704	-0.918045	-0.350545	-0.185233	-0.098981	-0.249765	0.963234	-0.383922	0.902627	0.194598
2877	-123.587567	12.766810	-24.244166	-0.919300	-0.347870	-0.184048	-0.099755	-0.246417	0.964017	-0.380705	0.904580	0.191829
2878	-123.679559	12.732157	-24.262511	-0.920539	-0.345204	-0.182874	-0.100510	-0.243077	0.964786	-0.377500	0.906503	0.189065
2879	-123.771675	12.697771	-24.280739	-0.921761	-0.342547	-0.181711	-0.101247	-0.239745	0.965542	-0.374308	0.908396	0.186306
2880	-123.863912	12.663650	-24.298851	-0.922967	-0.339899	-0.180559	-0.101966	-0.236423	0.966285	-0.371127	0.910260	0.183552
2881	-123.956269	12.629793	-24.316849	-0.924157	-0.337259	-0.179417	-0.102667	-0.233109	0.967016	-0.367959	0.912094	0.180804
2882	-124.048745	12.596201	-24.334732	-0.925331	-0.334629	-0.178285	-0.103350	-0.229806	0.967734	-0.364803	0.913900	0.178062
2883	-124.141336	12.562870	-24.352503	-0.926490	-0.332007	-0.177163	-0.104014	-0.226513	0.968439	-0.361658	0.915676	0.175328
2884	-124.234044	12.529802	-24.370162	-0.927635	-0.329393	-0.176051	-0.104660	-0.223229	0.969131	-0.358524	0.917425	0.172601
2885	-124.326865	12.496995	-24.387711	-0.928764	-0.326787	-0.174949	-0.105288	-0.219957	0.969811	-0.355403	0.919146	0.169881
2886	-124.419797	12.464447	-24.405150	-0.929878	-0.324193	-0.173857	-0.105899	-0.216696	0.970478	-0.352296	0.920838	0.167169
2887	-124.512841	12.432158	-24.422480	-0.930976	-0.321608	-0.172775	-0.106492	-0.213446	0.971133	-0.349203	0.922501	0.164465
2888	-124.605993	12.400127	-24.439703	-0.932060	-0.319033	-0.171704	-0.107068	-0.210208	0.971776	-0.346122	0.924138	0.161769
2889	-124.699254	12.368353	-24.456819	-0.933129	-0.316468	-0.170642	-0.107627	-0.206983	0.972407	-0.343056	0.925746	0.159081
2890	-124.792620	12.336836	-24.473830	-0.934183	-0.313912	-0.169590	-0.108168	-0.203770	0.973025	-0.340002	0.927328	0.156403
2891	-124.886091	12.305573	-24.490736	-0.935223	-0.311367	-0.168547	-0.108693	-0.200570	0.973631	-0.336962	0.928882	0.153735
2892	-124.979666	12.274564	-24.507537	-0.936249	-0.308831	-0.167514	-0.109200	-0.197383	0.974225	-0.333935	0.930410	0.151076
2893	-125.073341	12.243808	-24.524237	-0.937261	-0.306306	-0.166491	-0.109691	-0.194210	0.974808	-0.330924	0.931911	0.148427
2894	-125.167118	12.213305	-24.540834	-0.938257	-0.303794	-0.165478	-0.110165	-0.191051	0.975379	-0.327929	0.933386	0.145787
2895	-125.260994	12.183053	-24.557330	-0.939240	-0.301293	-0.164474	-0.110623	-0.187906	0.975937	-0.324948	0.934834	0.143159
2896	-125.354967	12.153050	-24.573726	-0.940211	-0.298796	-0.163478	-0.111064	-0.184776	0.976485	-0.321976	0.936258	0.140543
2897	-125.449037	12.123297	-24.590023	-0.941169	-0.296308	-0.162490	-0.111487	-0.181662	0.977021	-0.319017	0.937657	0.137940
2898	-125.543202	12.093791	-24.606222	-0.942113	-0.293831	-0.161511	-0.111895	-0.178563	0.977545	-0.316073	0.939031	0.135348
2899	-125.637460	12.064532	-24.622324	-0.943044	-0.291367	-0.160543	-0.112287	-0.175480	0.978059	-0.313146	0.940379	0.132768
