"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
46	-241.833225	9.101825	7.802423	0.873575	0.486690	0.000237	0.000079	0.000346	-1.000000	-0.486690	0.873575	0.000264
47	-240.085543	10.074248	7.802884	0.873841	0.486211	0.000230	0.000111	0.000274	-1.000000	-0.486212	0.873841	0.000185
48	-238.337861	11.046671	7.803345	0.873841	0.486211	0.000230	0.000148	0.000208	-1.000000	-0.486212	0.873841	0.000110
49	-236.590179	12.019094	7.803806	0.873841	0.486211	0.000230	0.000183	0.000145	-1.000000	-0.486212	0.873841	0.000037
50	-234.842496	12.991517	7.804266	0.873841	0.486211	0.000230	0.000216	0.000085	-1.000000	-0.486212	0.873841	-0.000030
51	-233.094814	13.963940	7.804727	0.873841	0.486211	0.000230	0.000247	0.000030	-1.000000	-0.486211	0.873841	-0.000093
52	-231.347132	14.936363	7.805188	0.873841	0.486211	0.000230	0.000275	-0.000020	-1.000000	-0.486211	0.873841	-0.000151
53	-229.599450	15.908786	7.805649	0.873841	0.486211	0.000230	0.000300	-0.000065	-1.000000	-0.486211	0.873841	-0.000202
54	-227.851767	16.881209	7.806110	0.873841	0.486211	0.000230	0.000322	-0.000105	-1.000000	-0.486211	0.873841	-0.000248
55	-226.104085	17.853632	7.806570	0.873841	0.486211	0.000230	0.000342	-0.000141	-1.000000	-0.486211	0.873841	-0.000289
56	-224.356403	18.826055	7.807031	0.873841	0.486211	0.000230	0.000359	-0.000172	-1.000000	-0.486211	0.873841	-0.000325
57	-222.608721	19.798478	7.807492	0.873841	0.486211	0.000230	0.000374	-0.000199	-1.000000	-0.486211	0.873841	-0.000355
58	-220.861038	20.770901	7.807953	0.873841	0.486211	0.000230	0.000387	-0.000221	-1.000000	-0.486211	0.873841	-0.000381
59	-219.113356	21.743324	7.808414	0.873841	0.486211	0.000230	0.000397	-0.000240	-1.000000	-0.486211	0.873841	-0.000403
60	-217.365674	22.715747	7.808874	0.873841	0.486211	0.000230	0.000406	-0.000255	-1.000000	-0.486211	0.873841	-0.000420
61	-215.617991	23.688170	7.809335	0.873841	0.486211	0.000230	0.000412	-0.000267	-1.000000	-0.486211	0.873841	-0.000434
